Ticker,Nome,Razão Social,Setor de Atuação,Segmento
OSXB3,OSX Brasil,OSX BRASIL S.A.,Petróleo. Gás e Biocombustíveis,Equipamentos e Serviços
PATI3,Panatlântica,PANATLANTICA S.A.,Materiais Básicos,Artefatos de Ferro e Aço
PATI4,Panatlântica,PANATLANTICA S.A.,Materiais Básicos,Artefatos de Ferro e Aço
PCAR3,Grupo Pão de Açúcar,CIA BRASILEIRA DE DISTRIBUICAO,Consumo não Cíclico,Alimentos
PDGR3,PDG Realty,PDG REALTY S.A. EMPREEND E PARTICIPACOES,Consumo Cíclico,Incorporações
PDTC3,Padtec,PADTEC HOLDING S.A.,Tecnologia da Informação,Programas e Serviços
PEAB3,Participações Aliança da Bahia,CIA PARTICIPACOES ALIANCA DA BAHIA,Financeiro,Exploração de Imóveis
PEAB4,Participações Aliança da Bahia,CIA PARTICIPACOES ALIANCA DA BAHIA,Financeiro,Exploração de Imóveis
PETR3,Petrobras,PETROLEO BRASILEIRO S.A. PETROBRAS,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
PETR4,Petrobras,PETROLEO BRASILEIRO S.A. PETROBRAS,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
PETZ3,Petz,PET CENTER COMERCIO E PARTICIPACOES S.A.,Consumo Cíclico,Produtos Diversos
PFRM3,Profarma,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,Saúde,Medicamentos e Outros Produtos
PGMN3,Pague Menos,EMPREENDIMENTOS PAGUE MENOS S.A.,Saúde,Medicamentos e Outros Produtos
PINE11,Banco Pine,BCO PINE S.A.,Financeiro,Bancos
PINE3,Banco Pine,BCO PINE S.A.,Financeiro,Bancos
PINE4,Banco Pine,BCO PINE S.A.,Financeiro,Bancos
PLAS3,Plascar,PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,Consumo Cíclico,Automóveis e Motocicletas
PLPL3,Plano&Plano,PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,Consumo Cíclico,Incorporações
PMAM3,Paranapanema,PARANAPANEMA S.A.,Materiais Básicos,Artefatos de Cobre
PNVL3,Dimed,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,Saúde,Medicamentos e Outros Produtos
POMO3,Marcopolo,MARCOPOLO S.A.,Bens Industriais,Material Rodoviário
POMO4,Marcopolo,MARCOPOLO S.A.,Bens Industriais,Material Rodoviário
PORT3,Wilson Sons,WILSON SONS S.A.,Bens Industriais,Serviços de Apoio e Armazenagem
POSI3,Positivo,POSITIVO TECNOLOGIA S.A.,Tecnologia da Informação,Computadores e Equipamentos
PPLA11,PPLA,PPLA PARTICIPATIONS LTD.,Financeiro,Gestão de Recursos e Investimentos
PRIO3,PetroRio,PRIO S.A.,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
PRNR3,Priner,PRINER SERVIÇOS INDUSTRIAIS S.A.,Bens Industriais,Serviços Diversos
PSSA3,Porto Seguro,PORTO SEGURO S.A.,Financeiro,Seguradoras
PSVM11,PORTO VM,PORTO SUDESTE V.M. S.A.,Bens Industriais,Serviços de Apoio e Armazenagem
PTBL3,Portobello,PBG S/A,Bens Industriais,Produtos para Construção
PTNT3,Pettenati,PETTENATI S.A. INDUSTRIA TEXTIL,Consumo Cíclico,Fios e Tecidos
PTNT4,Pettenati,PETTENATI S.A. INDUSTRIA TEXTIL,Consumo Cíclico,Fios e Tecidos
QUAL3,Qualicorp,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos
RADL3,RaiaDrogasil,RAIA DROGASIL S.A.,Saúde,Medicamentos e Outros Produtos
RAIL3,Rumo,RUMO S.A.,Bens Industriais,Transporte Ferroviário
RAIZ4,Raízen,RAIZEN S.A.,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
RANI3,Irani,IRANI PAPEL E EMBALAGEM S.A.,Materiais Básicos,Embalagens
RAPT3,Randon,RANDON S.A. IMPLEMENTOS E PARTICIPACOES,Bens Industriais,Material Rodoviário
RAPT4,Randon,RANDON S.A. IMPLEMENTOS E PARTICIPACOES,Bens Industriais,Material Rodoviário
RCSL3,Recrusul,RECRUSUL S.A.,Bens Industriais,Material Rodoviário
RCSL4,Recrusul,RECRUSUL S.A.,Bens Industriais,Material Rodoviário
RDNI3,RNI,RNI NEGÓCIOS IMOBILIÁRIOS S.A.,Consumo Cíclico,Incorporações
RDOR3,Rede D'Or,REDE DOR SÃO LUIZ S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos
RECV3,PetroRecôncavo,PETRORECÔNCAVO S.A.,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
REDE3,Rede Energia,REDE ENERGIA PARTICIPAÇÕES S.A.,Utilidade Pública,Energia Elétrica
RENT3,Localiza,LOCALIZA RENT A CAR S.A.,Consumo Cíclico,Aluguel de carros
RNEW11,Renova Energia,RENOVA ENERGIA S.A.,Utilidade Pública,Energia Elétrica
RNEW3,Renova Energia,RENOVA ENERGIA S.A.,Utilidade Pública,Energia Elétrica
RNEW4,Renova Energia,RENOVA ENERGIA S.A.,Utilidade Pública,Energia Elétrica
ROMI3,Indústrias ROMI,ROMI S.A.,Bens Industriais,Máq. e Equip. Industriais
RPAD3,Alfa Holdings,ALFA HOLDINGS S.A.,Financeiro,Bancos
RPAD5,Alfa Holdings,ALFA HOLDINGS S.A.,Financeiro,Bancos
RPMG3,Refinaria de Manguinhos,REFINARIA DE PETROLEOS MANGUINHOS S.A.,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
RSID3,Rossi Residencial,ROSSI RESIDENCIAL S.A.,Consumo Cíclico,Incorporações
RSUL4,Metalúrgica Riosulense,METALURGICA RIOSULENSE S.A.,Bens Industriais,Material Rodoviário
SANB11,Banco Santander,BCO SANTANDER (BRASIL) S.A.,Financeiro,Bancos
SANB3,Banco Santander,BCO SANTANDER (BRASIL) S.A.,Financeiro,Bancos
SANB4,Banco Santander,BCO SANTANDER (BRASIL) S.A.,Financeiro,Bancos
SAPR11,Sanepar,CIA SANEAMENTO DO PARANA - SANEPAR,Utilidade Pública,Água e Saneamento
SAPR3,Sanepar,CIA SANEAMENTO DO PARANA - SANEPAR,Utilidade Pública,Água e Saneamento
SAPR4,Sanepar,CIA SANEAMENTO DO PARANA - SANEPAR,Utilidade Pública,Água e Saneamento
SBFG3,Grupo SBF,GRUPO SBF SA,Consumo Cíclico,Produtos Diversos
SBSP3,Sabesp,CIA SANEAMENTO BASICO EST SAO PAULO,Utilidade Pública,Água e Saneamento
SCAR3,São Carlos,SAO CARLOS EMPREEND E PARTICIPACOES S.A.,Financeiro,Exploração de Imóveis
SEER3,Ser Educacional,SER EDUCACIONAL S.A.,Consumo Cíclico,Serviços Educacionais
SEQL3,Sequoia Logística,SEQUOIA LOGISTICA E TRANSPORTES S.A,Bens Industriais,Serviços Diversos
SHOW3,Time For Fun,T4F ENTRETENIMENTO S.A.,Consumo Cíclico,Produção de Eventos e Shows
SHUL4,Schulz,SCHULZ S.A.,Bens Industriais,Motores . Compressores e Outros
SIMH3,Simpar,SIMPAR S.A.,Financeiro,Holdings Diversificadas
SLCE3,SLC Agrícola,SLC AGRICOLA S.A.,Consumo não Cíclico,Agricultura
SMFT3,Smart Fit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,Consumo Cíclico,Atividades Esportivas
SMTO3,São Martinho,SAO MARTINHO S.A.,Consumo não Cíclico,Açucar e Alcool
SNSY3,Sansuy,SANSUY S.A. INDUSTRIA DE PLASTICOS,Materiais Básicos,Materiais Diversos
SNSY5,Sansuy,SANSUY S.A. INDUSTRIA DE PLASTICOS,Materiais Básicos,Materiais Diversos
SOJA3,Boa Safra Sementes,BOA SAFRA SEMENTES S.A.,Consumo não Cíclico,Agricultura
SOND6,Sondotécnica,SONDOTECNICA ENGENHARIA SOLOS S.A.,Bens Industriais,Engenharia Consultiva
SRNA3,Serena Energia,SERENA ENERGIA S.A.,Utilidade Pública,Energia Elétrica
STBP3,Santos Brasil,SANTOS BRASIL PARTICIPACOES S.A.,Bens Industriais,Serviços de Apoio e Armazenagem
SUZB3,Suzano,SUZANO S.A.,Materiais Básicos,Papel e Celulose
SYNE3,SYN,SYN PROP E TECH S.A.,Financeiro,Exploração de Imóveis
TAEE11,Taesa,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Utilidade Pública,Energia Elétrica
TAEE3,Taesa,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Utilidade Pública,Energia Elétrica
TAEE4,Taesa,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Utilidade Pública,Energia Elétrica
TASA3,Taurus,TAURUS ARMAS S.A.,Bens Industriais,Armas e Munições
TASA4,Taurus,TAURUS ARMAS S.A.,Bens Industriais,Armas e Munições
TCSA3,Tecnisa,TECNISA S.A.,Consumo Cíclico,Incorporações
TECN3,Technos,TECHNOS S.A.,Consumo Cíclico,Acessórios
TEKA4,Teka,TEKA-TECELAGEM KUEHNRICH S.A.,Consumo Cíclico,Fios e Tecidos
TELB3,Telebras,TELEC BRASILEIRAS S.A. TELEBRAS,Comunicações,Telecomunicações
TELB4,Telebras,TELEC BRASILEIRAS S.A. TELEBRAS,Comunicações,Telecomunicações
TEND3,Construtora Tenda,CONSTRUTORA TENDA S.A.,Consumo Cíclico,Incorporações
TFCO4,Track & Field,TRACK & FIELD CO S.A.,Consumo Cíclico,Vestuário
TGMA3,Tegma,TEGMA GESTAO LOGISTICA S.A.,Bens Industriais,Transporte Rodoviário
TIMS3,TIM,TIM S.A.,Comunicações,Telecomunicações
TKNO3,Tekno,TEKNO S.A. - INDUSTRIA E COMERCIO,Materiais Básicos,Artefatos de Ferro e Aço
TKNO4,Tekno,TEKNO S.A. - INDUSTRIA E COMERCIO,Materiais Básicos,Artefatos de Ferro e Aço
TOTS3,Totvs,TOTVS S.A.,Tecnologia da Informação,Programas e Serviços
TPIS3,Triunfo,TPI - TRIUNFO PARTICIP. E INVEST. S.A.,Bens Industriais,Exploração de Rodovias
TRAD3,Traders Club,TC S.A.,Tecnologia da Informação,Programas e Serviços
TRIS3,Trisul,TRISUL S.A.,Consumo Cíclico,Incorporações
TTEN3,3tentos,TRÊS TENTOS AGROINDUSTRIAL S/A,Consumo não Cíclico,Agricultura
TUPY3,Tupy,TUPY S.A.,Bens Industriais,Material Rodoviário
UCAS3,Unicasa,UNICASA INDÚSTRIA DE MÓVEIS S.A.,Consumo Cíclico,Móveis
UGPA3,Ultrapar,ULTRAPAR PARTICIPACOES S.A.,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
UNIP3,Unipar,UNIPAR CARBOCLORO S.A.,Materiais Básicos,Químicos Diversos
UNIP5,Unipar,UNIPAR CARBOCLORO S.A.,Materiais Básicos,Químicos Diversos
UNIP6,Unipar,UNIPAR CARBOCLORO S.A.,Materiais Básicos,Químicos Diversos
USIM3,Usiminas,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,Materiais Básicos,Siderurgia
USIM5,Usiminas,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,Materiais Básicos,Siderurgia
VALE3,Vale,VALE S.A.,Materiais Básicos,Minerais Metálicos
VAMO3,Grupo Vamos,VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.,Consumo Cíclico,Aluguel de carros
VBBR3,Vibra Energia,VIBRA ENERGIA S.A.,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
VITT3,Vittia,VITTIA S.A.,Materiais Básicos,Fertilizantes e Defensivos
VIVA3,Vivara,VIVARA PARTICIPAÇOES S.A,Consumo Cíclico,Acessórios
VIVR3,Viver,VIVER INCORPORADORA E CONSTRUTORA S.A.,Consumo Cíclico,Incorporações
VIVT3,Vivo,TELEFÔNICA BRASIL S.A,Comunicações,Telecomunicações
VLID3,Valid,VALID SOLUÇÕES S.A.,Bens Industriais,Serviços Diversos
VSTE3,LE LIS BLANC,VESTE S.A. ESTILO,Consumo Cíclico,Tecidos. Vestuário e Calçados
VTRU3,VITRUBREPCOM,VITRU BRASIL EMPREEND. PARTICIP. E COMERCIO S.A.,Consumo Cíclico,Serviços Educacionais
VULC3,Vulcabras,VULCABRAS S.A.,Consumo Cíclico,Calçados
VVEO3,Viveo,CM HOSPITALAR S.A.,Saúde,Medicamentos e Outros Produtos
WEGE3,WEG,WEG S.A.,Bens Industriais,Motores . Compressores e Outros
WEST3,Westwing,WESTWING COMERCIO VAREJISTA S.A.,Consumo Cíclico,Móveis
WHRL3,Whirlpool,WHIRLPOOL S.A.,Consumo Cíclico,Eletrodomésticos
WHRL4,Whirlpool,WHIRLPOOL S.A.,Consumo Cíclico,Eletrodomésticos
WIZC3,Wiz Soluções,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,Financeiro,Corretoras de Seguros e Resseguros
WLMM3,WLM,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,Bens Industriais,Material de Transporte
WLMM4,WLM,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,Bens Industriais,Material de Transporte
YDUQ3,YDUQS,YDUQS PARTICIPACOES S.A.,Consumo Cíclico,Serviços Educacionais
ZAMP3,Zamp,ZAMP S.A.,Consumo Cíclico,Restaurante e Similares
